Depth,Azimuth,Dip,Aperture_mm,Features
7.33,213.3,82.34,0,8
7.38,184.76,17.74,18.1,1
7.76,156.21,14.57,0,5
7.89,205.1,33.42,0,7
7.97,167.31,17.74,0,8
8.22,157.8,12.41,0,5
8.28,359.21,79.58,0,8
8.38,122.91,7.97,0,5
8.63,0,10.2,0,8
8.91,61.85,7.97,14.86,3
9.01,54.71,34.22,0,8
9.2,281.5,14.57,76.46,9
9.26,208.55,26.57,0,8
9.33,272.78,18.78,0,8
9.51,41.23,21.8,0,5
9.54,168.11,5.71,28.86,1
9.63,174.87,7.97,0,8
9.65,206.96,5.71,0,3
9.73,176.04,12.41,8.79,3
9.91,120.53,7.97,0,7
9.97,71.37,12.41,22.46,7
10.1,119.74,4.57,0,5
10.26,94.36,14.57,10.83,5
10.39,216.97,5.71,0,8
10.47,263.26,11.31,0,8
10.54,165.73,9.09,0,8
10.7,150.66,7.97,0,8
10.91,229.96,7.97,0,8
11.15,137.97,15.64,0,7
11.22,153.04,12.41,14.65,7
11.32,172.86,17.74,0,5
11.65,112.6,37.23,0,8
11.74,144.32,25.64,0,8
11.85,208.55,35.75,0,7
11.92,161.76,14.57,0,7
12.13,275.15,10.2,0,7
12.2,313.22,28.37,0,7
12.35,195.86,30.11,0,7
12.51,157,40.7,0,7
12.57,311.63,10.2,3.94,3
12.71,215.68,2.29,0,7
12.8,0,10.2,0,7
12.89,131.63,7.97,38.62,7
13.02,30.93,24.7,0,7
13.15,99.91,12.41,0,7
13.32,334.63,0,0,8
13.48,134.01,62.73,0,8
13.58,98.23,48.24,0,8
13.84,235.51,9.09,0,5
14.16,252.95,12.41,0,8
14.31,189.52,7.97,0,5
14.46,192.69,6.84,0,5
14.48,181.59,10.2,0,8
14.7,190.31,12.41,0,5
15.02,139.25,24.7,0,8
15.19,303.33,17.74,0,8
15.36,40.44,18.78,25.56,7
15.65,314.01,4.57,0,5
16.23,308.19,56.66,0,8
16.4,126.87,15.64,64.52,7
17.59,59.37,25.64,0,8
17.65,140.35,5.71,0,5
19.2,116.56,2.29,0,5
20.33,176.04,5.71,0,5
21.02,86.43,11.31,0,5
21.26,348.11,12.41,44.13,7
22,149.07,22.78,0,5
23.24,76.92,7.97,0,5
23.42,123.7,15.64,30.81,1
26.31,5.55,7.97,0,3
27.27,39.65,9.09,0,5
28.02,217.27,13.5,30.14,7
28.38,148.28,19.8,0,5
29.98,219.65,15.64,0,5
30.29,161.76,17.74,0,5
30.31,124.49,9.09,0,5
30.83,121.32,6.84,0,5
31.28,256.92,12.41,0,5
31.64,86.43,23.75,0,7
31.85,130.04,6.84,0,5
32.72,0,5.71,3.98,3
33.31,104.67,10.2,0,5
33.51,108.63,14.57,10.65,3
33.88,3.96,5.71,0,3
34.03,33.3,10.2,0,5
34.13,67.4,9.09,0,5
34.51,162.56,10.2,0,3
34.68,97.53,10.2,0,5
35.34,330.85,23.75,0,8
35.73,84.05,12.41,0,5
36.48,119.74,9.09,7.96,3
36.72,118.94,12.41,0,5
36.75,130.04,12.41,0,5
36.96,139.56,10.2,0,5
36.98,126.08,11.31,0,5
37,167.31,5.71,0,3
37.08,138.77,10.2,0,5
37.11,148.28,12.41,0,5
37.28,183.17,10.2,0,5
37.3,165.73,7.97,0,5
37.54,178.11,59.24,0,7
37.74,197.54,30.11,0,7
39.33,174.45,16.7,0,5
39.35,192.69,21.8,0,3
39.54,187.14,19.8,0,5
39.61,12.69,22.78,0,5
39.69,19.03,21.8,0,3
39.71,290.91,32.62,0,8
40.28,161.92,35.75,0,8
40.43,293.07,72.23,0,8
42.57,233.13,6.84,10.92,1
46.09,358.41,21.8,0,3
46.18,14.03,17.74,0,5
48.17,169.69,7.97,0,3
48.36,137.18,5.71,0,5
49.21,158.59,7.97,0,3
49.82,352.86,12.41,0,5
50.42,357.3,5.71,0,8
50.64,30.76,14.57,0,8
50.99,70.7,3.43,0,8
51.23,312.5,14.57,0,8
54.14,191.89,30.11,0,5
54.94,318.77,17.74,0,5
54.95,315.2,52.85,0,8
56.71,0,38.66,0,5
56.96,317.18,27.47,0,5
59.54,115.5,81.23,0,8
61.27,343.35,4.57,0,3
61.48,78.5,10.2,6.89,3
61.67,62.64,12.41,4.88,3
62.09,222.03,10.2,0,5
62.37,139.56,5.71,0,5
62.66,144.32,5.71,0,5
63.66,2.38,10.2,0,3
65.07,204.58,6.84,0,3
65.33,258.5,6.84,11.92,3
66.23,274.36,7.97,6.93,3
66.34,297.93,4.57,0,5
66.47,298.15,14.57,0,3
66.71,171.63,15.64,0,8
66.84,324.92,6.84,0,8
66.86,356.04,9.09,0,3
67.07,256.12,10.2,0,3
67.24,145.11,3.43,46.68,1
67.38,352.86,6.84,0,3
67.52,351.36,3.43,0,8
67.6,239.1,3.43,0,8
67.63,232.33,4.57,0,3
67.81,153.04,2.29,12.99,3
67.94,174.45,3.43,10.99,3
67.97,0,0,0,8
68.13,245.04,4.57,0,8
68.53,224.41,15.64,0,3
68.55,44.41,5.71,0,3
68.67,256.92,7.97,0,3
